episode,absolute error,step
878,10440.136402852164,701328
879,9772.939596275775,702328
880,9430.442835526395,703328
881,12051.87730525704,704328
882,13556.6542283139,705328
883,10076.218661411523,706328
884,8465.097809007948,706436
885,14531.996730886302,707436
886,10744.30174709461,708436
887,10040.341094510157,709436
888,9730.51996551203,710436
889,10572.201871463016,711436
890,10986.583141917888,712436
891,9284.370445702358,713436
892,9262.40337076892,714436
893,9911.42172163918,715436
894,8088.494408666487,716436
895,10365.5412440917,717436
896,9504.500987922103,718436
897,14745.736097680998,719436
898,6987.667750851897,719525
899,11270.670591433687,719686
900,35044.16720346148,720686
901,16036.40374411877,721686
902,14410.013484291076,722686
903,11967.009508833316,723686
904,19218.013130424337,724686
905,18927.48533056356,725686
906,17433.100329559205,726686
907,17458.29151418575,727686
908,11576.914081215777,728686
909,19160.16715307012,729686
910,18272.87057491598,730686
911,17909.963450237174,731686
912,18979.79228750109,732686
913,16708.682892522298,732986
914,10296.867250953128,733986
915,17889.541816818393,734986
916,20239.23082056312,735986
917,13729.612121759672,736986
918,18305.80632666745,737986
919,17909.66990059185,738986
920,11702.669725738597,739986
921,9755.773379691713,740089
922,16513.597998684247,741089
923,9030.894385968068,741202
924,21081.78784980761,742202
925,15951.559714108702,743202
926,20409.048284870325,744202
927,22704.4274698586,745202
928,19082.990322893147,746202
929,20227.91793107613,747202
930,10404.082800321868,748202
931,19343.78500685688,749202
932,19763.35087568251,750202
933,15220.104153401777,751202
934,23386.46086393684,752202
935,20372.00383449268,753202
936,27104.638528303967,754202
937,20778.7287108393,755202
938,13907.769440098327,756202
939,18339.998763895743,757202
940,16790.354969032272,758202
941,15272.700116487313,759202
942,19663.11286385588,760202
943,18086.242467529664,761202
944,19527.856174467404,762202
945,46827.04893338893,763202
946,18956.263592855885,764202
947,20815.07673845773,765202
948,18196.363846398788,766202
949,11935.74526844101,767202
950,18207.10517974071,768202
951,12702.334791569803,769202
952,25462.87654266125,770202
953,14151.122959022105,771202
954,7187.719088136431,772202
955,8903.67476675556,773202
956,21576.805074997053,774202
957,24955.414775511133,775202
958,9264.89021563822,776202
959,16124.789359405118,777202
960,14568.330727993212,778202
961,6608.8557172565925,778289
962,17618.236925168883,779289
963,12372.304555447952,780289
964,13660.767477676038,781289
965,19596.458566969737,782289
966,13143.550495600142,783289
967,8496.975877044044,783391
968,16175.908347932824,784391
969,15427.78186058958,785391
970,10659.23556464529,786391
971,7073.370897656232,786485
972,9815.24583926972,787485
973,8833.451686824343,788485
974,35497.50717616261,789485
975,17589.18532709466,790485
976,17998.264029314236,791485
977,30946.5361747176,792485
978,16889.48770322087,793485
979,14633.275786311484,794485
980,17081.390357946395,795485
981,15881.879962035113,796485
982,15273.397566149,797485
983,17015.911112907586,798485
984,18404.52800779541,799485
985,12979.574128866432,800485
986,48858.71895587862,800603
987,10200.265341695993,801603
988,16233.208123133018,802603
989,13589.398642694468,803603
990,17914.70071873161,804603
991,16816.119229773867,805603
992,81233.0241555062,805712
993,13804.770780621697,806712
994,14745.772480541742,807712
995,18125.773157170544,808712
996,13384.685879988005,809712
997,11456.302082298767,810712
998,2428.538699561286,811712
999,17037.44358367105,812712
1000,67153.09264465256,812821
1001,46268.4914564524,812904
1002,29547.33421008434,813904
1003,12806.629969743984,814904
1004,13319.299896349286,815904
1005,12815.714774687543,816904
1006,10630.673168480407,817904
1007,41528.16251123214,817989
1008,9406.98248041048,818989
1009,84764.98995760699,819100
1010,13005.504664680197,820100
1011,7691.189877286997,820185
1012,6479.270873592037,820269
1013,9685.717134868131,821269
1014,42892.78820468367,821352
1015,6418.136146590451,822352
1016,7339.087798438186,822436
1017,11732.990442228249,823436
1018,10684.788372541214,823530
1019,5962.5376219098025,824530
1020,13469.544395773888,825530
1021,13268.745616559752,826530
1022,6799.782250368272,826603
1023,10138.286671936849,827603
1024,58198.331174669474,828405
1025,12299.94456750666,829405
1026,9979.798206206578,829532
1027,17108.688795946247,830532
1028,23463.31676653725,831532
1029,20092.504683832096,832532
1030,19376.011299543705,833532
1031,20053.70810640018,834532
1032,3965.2167810182345,835532
1033,15288.25473507808,836532
1034,10824.318068583854,837532
1035,4872.169452455803,838532
1036,7288.011705321408,839532
1037,18712.744982780925,840532
1038,22924.91036003038,841532
1039,16356.386605557323,842532
1040,17945.288246744734,843532
1041,18820.3391250054,844532
1042,8401.25196077709,845532
1043,12943.167558625615,846532
1044,17617.453157398984,847532
1045,16505.598359220785,848532
1046,13438.040529588528,849532
1047,11507.037751228709,850532
1048,17390.44035039896,851532
1049,12164.852929403574,852532
1050,6988.862246903069,853532
1051,9224.911907218722,853622
1052,13872.585498389964,854622
1053,21521.876636035624,855622
1054,20285.80771446403,856622
1055,17391.415905623067,857622
1056,16025.978342973738,858622
1057,12847.447925227552,859622
1058,17912.58041443336,860622
1059,18768.861823199844,861622
1060,5587.863132988133,862622
1061,12906.632154858407,863622
1062,10096.818497520797,864622
1063,5552.711714885968,865622
1064,12088.263256901568,866622
1065,17293.82069634572,867622
1066,13368.5259645771,868622
1067,14775.29783706855,869622
